期數,號碼1,號碼2,號碼3,號碼4,號碼5
2007/12/04(二),11,15,32,36,39
2007/12/05(三),3,8,9,11,36
2007/12/06(四),11,14,29,32,39
2007/12/07(五),15,16,22,24,28
2007/12/10(一),2,7,18,19,38
2007/12/11(二),15,20,21,24,35
2007/12/12(三),10,19,27,36,38
2007/12/13(四),7,13,22,26,32
2007/12/14(五),2,14,15,28,37
2007/12/17(一),2,8,13,24,26
2007/12/18(二),7,21,24,30,36
2007/12/19(三),6,7,13,27,39
2007/12/25(二),2,4,13,22,28
2007/12/26(三),1,11,18,20,33
2007/12/27(四),1,3,4,19,26
2007/12/28(五),1,2,14,22,30
2007/12/31(一),11,12,20,25,37
2008/01/01(二),11,26,31,35,37
2008/01/02(三),2,9,10,24,30
2008/01/03(四),18,28,32,33,38
2008/01/04(五),7,17,20,28,36
2008/01/07(一),2,11,18,19,21
2008/01/08(二),1,12,19,20,35
2008/01/09(三),4,9,16,19,29
2008/01/10(四),1,8,11,22,39
2008/01/11(五),4,8,27,30,32
2008/01/14(一),4,19,34,35,38
2008/01/15(二),5,11,16,21,26
2008/01/16(三),9,10,11,23,30
2008/01/17(四),2,20,35,37,38
2008/01/18(五),5,15,31,32,36
2008/01/21(一),1,11,23,26,29
2008/01/25(五),2,8,15,17,20
2008/01/28(一),2,13,28,32,36
2008/01/29(二),1,4,9,10,29
2008/01/30(三),1,16,17,28,37
2008/01/31(四),1,2,17,24,35
2008/02/01(五),3,10,23,34,37
2008/02/04(一),3,12,23,26,34
2008/02/05(二),1,4,10,18,31
2008/02/06(三),4,17,18,29,33
2008/02/07(四),6,30,32,33,34
2008/02/08(五),3,10,11,34,38
2008/02/11(一),13,18,25,37,38
2008/02/12(二),1,10,12,28,38
2008/02/13(三),14,28,34,36,37
2008/02/14(四),3,4,10,36,39
2008/02/15(五),1,24,26,27,39
2008/02/18(一),5,14,17,18,21
2008/02/19(二),11,16,24,30,35
2008/02/20(三),11,20,27,30,33
2008/02/21(四),6,10,22,31,37
2008/02/27(三),1,6,33,34,35
2008/02/28(四),1,3,9,20,22
2008/02/29(五),8,25,27,34,38
2008/03/03(一),4,5,10,13,22
2008/03/04(二),5,11,12,19,21
2008/03/05(三),2,10,13,14,15
2008/03/06(四),3,9,15,17,21
2008/03/07(五),6,7,15,36,39
2008/03/10(一),13,16,17,29,31
2008/03/11(二),4,10,16,17,22
2008/03/12(三),9,24,27,36,37
2008/03/13(四),1,11,19,21,33
2008/03/14(五),2,6,16,26,28
2008/03/17(一),2,11,16,20,37
2008/03/18(二),10,16,20,31,32
2008/03/19(三),1,14,19,21,33
2008/03/20(四),3,6,20,22,29
2008/03/21(五),4,10,19,20,30
2008/03/24(一),2,5,26,29,30
2008/03/25(二),1,3,8,30,36
2008/03/31(一),9,16,30,32,38
2008/04/01(二),6,12,16,18,35
2008/04/02(三),4,10,14,24,26
2008/04/03(四),2,18,21,24,36
2008/04/04(五),10,17,21,32,35
2008/04/07(一),6,7,16,22,24
2008/04/08(二),7,10,15,37,38
2008/04/09(三),9,13,15,21,28
2008/04/10(四),5,8,9,17,24
2008/04/11(五),5,16,30,34,37
2008/04/14(一),2,10,17,18,21
2008/04/15(二),6,18,25,26,31
2008/04/16(三),7,18,20,22,33
2008/04/17(四),5,19,22,28,29
2008/04/18(五),11,12,20,32,35
2008/04/21(一),8,15,22,24,33
2008/04/22(二),3,10,12,19,24
2008/04/23(三),4,5,7,9,21
2008/04/24(四),3,14,25,33,38
2008/04/25(五),4,7,11,19,24
2008/05/01(四),5,17,20,25,34
2008/05/02(五),1,13,15,16,30
2008/05/05(一),16,19,27,29,33
2008/05/06(二),8,16,17,33,38
2008/05/07(三),4,18,19,27,35
2008/05/08(四),23,27,33,35,39
2008/05/09(五),5,24,26,32,34
2008/05/12(一),5,9,18,31,35
2008/05/13(二),6,21,29,31,36
2008/05/14(三),4,28,31,36,37
2008/05/15(四),11,18,21,27,38
2008/05/16(五),13,18,20,21,23
2008/05/19(一),10,11,28,31,34
2008/05/20(二),4,18,24,28,38
2008/05/21(三),8,12,20,34,35
2008/05/22(四),11,21,25,31,38
2008/05/23(五),8,11,33,34,35
2008/05/26(一),2,3,17,23,30
2008/05/27(二),30,31,32,33,38
2008/05/28(三),1,3,30,31,39
2008/06/03(二),6,9,19,33,35
2008/06/04(三),19,20,27,29,33
2008/06/05(四),4,17,23,27,29
2008/06/06(五),7,11,20,28,31
2008/06/09(一),7,16,20,27,35
2008/06/10(二),3,9,25,26,35
2008/06/11(三),7,11,14,19,20
2008/06/12(四),12,17,29,35,39
2008/06/13(五),1,4,9,33,38
2008/06/16(一),21,25,28,30,33
2008/06/17(二),1,4,10,16,37
2008/06/18(三),5,16,18,19,30
2008/06/19(四),4,6,11,18,29
2008/06/20(五),5,6,12,17,23
2008/06/23(一),14,17,18,24,29
2008/06/24(二),5,7,13,27,35
2008/06/25(三),6,7,18,28,34
2008/06/26(四),1,9,17,22,24
2008/06/27(五),6,12,19,22,34
2008/06/30(一),5,20,31,36,37
2008/07/04(五),20,25,31,33,39
2008/07/07(一),9,16,20,37,38
2008/07/08(二),3,5,8,20,23
2008/07/09(三),1,11,17,21,34
2008/07/10(四),13,16,22,26,34
2008/07/11(五),5,10,12,30,34
2008/07/14(一),2,9,32,33,37
2008/07/15(二),2,20,25,27,28
2008/07/16(三),3,8,16,17,30
2008/07/17(四),2,8,20,25,27
2008/07/18(五),9,13,19,23,39
2008/07/21(一),5,10,17,19,23
2008/07/22(二),5,6,19,21,28
2008/07/23(三),4,18,22,26,30
2008/07/24(四),1,8,11,13,38
2008/07/25(五),8,17,26,28,32
2008/07/28(一),15,22,24,26,36
2008/07/29(二),6,12,13,32,38
2008/07/30(三),6,10,17,28,34
2008/07/31(四),3,20,24,31,39
2008/08/06(三),22,27,30,33,38
2008/08/07(四),8,11,15,25,26
2008/08/08(五),1,6,14,17,31
2008/08/11(一),4,6,10,14,36
2008/08/12(二),3,5,9,28,33
2008/08/13(三),3,8,29,32,34
2008/08/14(四),18,22,25,28,39
2008/08/15(五),4,7,23,34,38
2008/08/18(一),2,4,23,27,32
2008/08/19(二),8,14,20,31,37
2008/08/20(三),17,30,31,35,37
2008/08/21(四),12,13,23,28,37
2008/08/22(五),1,3,9,10,20
2008/08/25(一),11,20,21,24,35
2008/08/26(二),4,6,11,28,30
2008/08/27(三),1,2,13,18,38
2008/08/28(四),1,16,31,33,37
2008/08/29(五),11,14,21,28,38
2008/09/01(一),15,26,27,28,37
2008/09/02(二),4,6,20,21,35
2008/09/08(一),1,10,18,31,37
2008/09/09(二),8,24,28,38,39
2008/09/10(三),2,16,28,32,33
2008/09/11(四),10,12,29,34,35
2008/09/12(五),3,6,10,12,26
2008/09/15(一),2,11,16,26,37
2008/09/16(二),4,10,14,17,25
2008/09/17(三),8,16,33,36,37
2008/09/18(四),15,25,27,34,35
2008/09/19(五),2,13,17,23,27
2008/09/22(一),10,15,16,25,33
2008/09/23(二),9,24,25,30,34
2008/09/24(三),6,18,19,27,30
2008/09/25(四),1,13,16,23,32
2008/09/26(五),5,12,27,34,39
2008/09/29(一),4,13,19,22,37
2008/09/30(二),2,3,15,19,32
2008/10/01(三),13,15,23,25,34
2008/10/02(四),3,4,12,19,35
2008/10/03(五),7,21,23,27,36
2008/10/09(四),1,4,19,20,37
2008/10/10(五),1,6,8,25,36
2008/10/13(一),6,10,11,13,14
2008/10/14(二),2,14,15,35,38
2008/10/15(三),3,4,8,23,26
2008/10/16(四),10,14,23,32,38
2008/10/17(五),3,4,6,30,38
2008/10/20(一),3,4,5,24,31
2008/10/21(二),8,14,21,25,28
2008/10/22(三),9,11,16,21,33
2008/10/23(四),8,34,36,37,39
2008/10/24(五),5,21,24,32,38
2008/10/27(一),3,18,31,32,33
2008/10/28(二),3,4,15,28,38
2008/10/29(三),17,18,19,26,30
2008/10/30(四),5,9,17,26,32
2008/10/31(五),5,29,31,35,38
2008/11/03(一),11,23,27,33,36
2008/11/04(二),5,9,10,15,25
2008/11/05(三),1,24,31,34,37
2008/11/11(二),8,23,32,33,39
2008/11/12(三),5,11,24,28,31
2008/11/13(四),8,23,25,26,34
2008/11/14(五),4,5,12,13,29
2008/11/17(一),17,19,30,31,36
2008/11/18(二),7,8,18,22,24
2008/11/19(三),29,30,31,33,34
2008/11/20(四),2,21,28,38,39
2008/11/21(五),5,10,14,23,27
2008/11/24(一),1,2,24,25,34
2008/11/25(二),5,12,15,18,29
2008/11/26(三),4,18,24,26,30
2008/11/27(四),8,14,21,28,36
2008/11/28(五),14,15,16,18,39
2008/12/01(一),5,7,10,19,36
2008/12/02(二),6,9,15,17,31
2008/12/03(三),8,9,19,28,32
2008/12/04(四),17,19,21,38,39
2008/12/05(五),5,7,31,36,38
2008/12/08(一),13,27,35,37,38
2008/12/12(五),10,14,23,25,32
2008/12/15(一),2,5,33,36,39
2008/12/16(二),12,16,18,25,28
2008/12/17(三),5,8,11,14,22
2008/12/18(四),14,16,28,35,37
2008/12/19(五),8,12,18,24,28
2008/12/22(一),5,6,20,31,37
2008/12/23(二),3,11,20,25,37
2008/12/24(三),2,15,25,36,37
2008/12/25(四),8,18,32,37,38
2008/12/26(五),11,12,25,26,35
2008/12/29(一),9,20,22,34,36
2008/12/30(二),3,8,13,19,37
2008/12/31(三),8,12,36,37,39
2009/01/01(四),6,11,14,17,32
2009/01/02(五),12,20,30,38,39
2009/01/05(一),2,3,21,24,29
2009/01/06(二),2,9,10,11,37
2009/01/07(三),12,20,26,33,39
2009/01/08(四),27,28,32,34,35
2009/01/14(三),4,14,25,34,38
2009/01/15(四),14,17,29,35,36
2009/01/16(五),8,9,25,28,35
2009/01/19(一),3,18,24,31,36
2009/01/20(二),5,8,26,32,38
2009/01/21(三),2,3,9,24,35
2009/01/22(四),4,5,21,25,35
2009/01/23(五),2,14,21,33,39
2009/01/26(一),2,7,14,31,39
2009/01/27(二),2,6,9,21,36
2009/01/28(三),5,8,9,26,29
2009/01/29(四),4,9,16,26,31
2009/01/30(五),16,19,30,31,38
2009/02/02(一),8,18,23,27,37
2009/02/03(二),5,18,30,31,39
2009/02/04(三),5,19,22,30,33
2009/02/05(四),4,7,16,19,25
2009/02/06(五),7,12,20,37,39
2009/02/09(一),6,12,15,21,23
2009/02/10(二),20,21,24,26,30
2009/02/16(一),3,6,23,24,35
2009/02/17(二),1,9,18,25,36
2009/02/18(三),1,10,19,22,34
2009/02/19(四),7,9,15,23,31
2009/02/20(五),2,5,19,22,24
2009/02/23(一),15,22,32,33,39
2009/02/24(二),3,6,11,20,30
2009/02/25(三),16,22,24,28,36
2009/02/26(四),2,5,6,27,35
2009/02/27(五),1,9,13,18,25
2009/03/02(一),3,15,24,30,33
2009/03/03(二),1,11,19,21,22
2009/03/04(三),5,10,29,30,36
2009/03/05(四),1,25,29,31,38
2009/03/06(五),6,8,9,19,38
2009/03/09(一),10,21,24,33,36
2009/03/10(二),4,7,9,34,38
2009/03/11(三),12,19,32,36,39
2009/03/12(四),12,31,32,36,37
2009/03/13(五),3,4,13,25,36
2009/03/19(四),2,30,31,33,39
2009/03/20(五),9,17,33,34,36
2009/03/23(一),5,22,24,27,28
2009/03/24(二),5,17,21,31,38
2009/03/25(三),14,15,17,30,32
2009/03/26(四),1,13,16,28,29
2009/03/27(五),3,9,12,24,39
2009/03/30(一),8,15,25,26,28
2009/03/31(二),20,21,25,31,34
2009/04/01(三),11,16,22,31,36
2009/04/02(四),13,16,23,29,31
2009/04/03(五),12,14,19,37,39
2009/04/06(一),16,20,35,36,39
2009/04/07(二),2,4,10,24,39
2009/04/08(三),3,8,10,26,33
2009/04/09(四),5,8,18,26,36
2009/04/10(五),1,2,3,23,32
2009/04/13(一),3,6,17,30,38
2009/04/14(二),3,5,21,29,30
2009/04/15(三),3,23,29,35,38
2009/04/21(二),11,16,20,27,28
2009/04/22(三),2,17,20,36,38
2009/04/23(四),1,2,21,30,31
2009/04/24(五),11,20,28,36,38
2009/04/27(一),3,9,16,23,29
2009/04/28(二),2,7,35,36,38
2009/04/29(三),1,7,13,19,20
2009/04/30(四),15,16,22,27,37
2009/05/01(五),12,13,29,31,36
2009/05/04(一),12,15,16,29,33
2009/05/05(二),6,22,28,34,37
2009/05/06(三),5,7,16,35,39
2009/05/07(四),19,20,21,26,30
2009/05/08(五),1,14,22,33,34
2009/05/11(一),1,10,16,24,39
2009/05/12(二),1,9,11,31,34
2009/05/13(三),11,16,20,30,37
2009/05/14(四),9,10,20,33,37
2009/05/15(五),24,25,26,37,39
2009/05/18(一),3,12,13,36,38
2009/05/22(五),3,11,12,27,34
2009/05/25(一),1,27,30,33,39
2009/05/26(二),1,7,16,34,36
2009/05/27(三),14,17,21,26,32
2009/05/28(四),9,11,30,34,38
2009/05/29(五),5,6,9,25,38
2009/06/01(一),1,20,21,29,31
2009/06/02(二),1,4,6,12,18
2009/06/03(三),8,10,20,24,37
2009/06/04(四),15,19,25,28,36
2009/06/05(五),2,12,14,15,38
2009/06/08(一),9,13,22,27,33
2009/06/09(二),6,23,31,34,38
2009/06/10(三),12,24,27,31,35
2009/06/11(四),14,15,19,25,33
2009/06/12(五),4,19,33,34,35
2009/06/15(一),7,13,18,21,27
2009/06/16(二),4,6,15,19,20
2009/06/17(三),7,12,16,27,36
2009/06/18(四),1,11,19,24,29
2009/06/24(三),16,21,22,34,38
2009/06/25(四),2,10,19,28,38
2009/06/26(五),13,15,20,27,39
2009/06/29(一),3,7,9,15,24
2009/06/30(二),1,11,21,29,31
2009/07/01(三),9,11,25,32,33
2009/07/02(四),4,10,25,30,31
2009/07/03(五),2,4,14,29,35
2009/07/06(一),3,6,7,13,23
2009/07/07(二),1,22,27,30,36
2009/07/08(三),12,13,22,24,33
2009/07/09(四),6,17,21,35,37
2009/07/10(五),3,15,25,26,31
2009/07/13(一),14,16,31,36,37
2009/07/14(二),3,4,7,15,23
2009/07/15(三),2,5,27,36,37
2009/07/16(四),2,10,21,37,39
2009/07/17(五),1,3,6,15,33
2009/07/20(一),4,8,9,17,38
2009/07/21(二),3,17,24,25,32
2009/07/27(一),5,8,36,37,38
2009/07/28(二),3,13,19,21,37
2009/07/29(三),2,15,23,24,33
2009/07/30(四),3,9,18,34,38
2009/07/31(五),13,14,16,17,32
2009/08/03(一),1,6,20,23,26
2009/08/04(二),10,12,14,18,34
2009/08/05(三),2,10,25,29,37
2009/08/06(四),16,17,28,32,33
2009/08/07(五),1,8,14,25,37
2009/08/10(一),3,12,19,23,39
2009/08/11(二),5,18,22,23,32
2009/08/12(三),5,8,17,32,37
2009/08/13(四),8,11,15,17,31
2009/08/14(五),8,25,28,30,37
2009/08/17(一),1,10,25,34,38
2009/08/18(二),6,7,15,17,26
2009/08/19(三),6,14,20,35,36
2009/08/20(四),9,12,14,16,34
2009/08/21(五),17,23,26,28,31
2009/08/27(四),24,26,28,29,37
2009/08/28(五),9,16,21,24,29
2009/08/31(一),1,5,16,20,38
2009/09/01(二),2,15,22,32,35
2009/09/02(三),2,4,7,34,38
2009/09/03(四),10,17,23,26,39
2009/09/04(五),9,17,27,32,38
2009/09/07(一),9,11,22,27,29
2009/09/08(二),1,11,26,27,31
2009/09/09(三),1,22,26,29,31
2009/09/10(四),13,15,16,18,26
2009/09/11(五),16,25,26,32,33
2009/09/14(一),8,13,14,26,27
2009/09/15(二),6,14,27,30,31
2009/09/16(三),8,23,27,28,38
2009/09/17(四),7,19,23,30,39
2009/09/18(五),11,12,15,22,38
2009/09/21(一),4,14,24,27,34
2009/09/22(二),9,14,18,27,32
2009/09/23(三),3,9,13,37,38
2009/09/29(二),11,24,31,32,34
2009/09/30(三),5,7,11,16,23
2009/10/01(四),7,14,24,31,35
2009/10/02(五),14,24,26,31,36
2009/10/05(一),18,20,23,24,30
2009/10/06(二),15,18,22,25,29
2009/10/07(三),3,5,8,9,35
2009/10/08(四),2,26,31,33,34
2009/10/09(五),1,8,28,35,38
2009/10/12(一),2,9,17,27,29
2009/10/13(二),6,13,24,26,31
2009/10/14(三),3,9,10,23,26
2009/10/15(四),7,13,18,28,38
2009/10/16(五),2,11,16,19,23
2009/10/19(一),12,20,23,34,36
2009/10/20(二),10,11,15,17,30
2009/10/21(三),15,21,23,36,39
2009/10/22(四),7,10,24,31,32
2009/10/23(五),2,15,21,23,37
2009/10/26(一),6,17,23,29,37
2009/10/30(五),5,14,22,37,38
2009/11/02(一),3,4,17,23,26
2009/11/03(二),7,30,32,35,39
2009/11/04(三),2,9,10,27,35
2009/11/05(四),5,11,15,26,39
2009/11/06(五),8,10,20,21,35
2009/11/09(一),6,17,18,31,37
2009/11/10(二),8,12,26,27,30
2009/11/11(三),13,28,33,37,39
2009/11/12(四),12,22,26,28,38
2009/11/13(五),1,5,28,31,34
2009/11/16(一),11,16,34,35,36
2009/11/17(二),2,6,19,28,32
2009/11/18(三),5,14,15,26,37
2009/11/19(四),22,23,25,31,34
2009/11/20(五),5,10,17,28,38
2009/11/23(一),5,25,27,32,39
2009/11/24(二),3,10,17,18,23
2009/11/25(三),6,10,11,18,37
2009/11/26(四),9,14,27,28,38
2009/12/02(三),14,25,33,36,38
2009/12/03(四),4,8,18,21,23
2009/12/04(五),14,15,17,34,37
2009/12/07(一),9,10,25,31,33
2009/12/08(二),1,5,11,15,35
2009/12/09(三),7,16,29,35,37
2009/12/10(四),7,14,15,24,28
2009/12/11(五),6,9,26,27,29
2009/12/14(一),6,10,16,27,28
2009/12/15(二),19,25,26,30,35
2009/12/16(三),10,19,30,37,39
2009/12/17(四),4,15,21,37,39
2009/12/18(五),5,20,21,25,37
2009/12/21(一),18,22,26,29,32
2009/12/22(二),2,5,7,10,17
2009/12/23(三),2,8,15,30,35
2009/12/24(四),2,11,19,20,36
2009/12/25(五),2,15,17,19,28
2009/12/28(一),3,5,10,13,29
2009/12/29(二),5,18,27,28,35
2010/01/04(一),4,14,19,27,31
2010/01/05(二),3,5,15,27,35
2010/01/06(三),11,25,28,37,39
2010/01/07(四),6,24,26,30,34
2010/01/08(五),11,16,17,18,30
2010/01/11(一),17,19,24,27,29
2010/01/12(二),1,19,27,30,37
2010/01/13(三),8,16,33,36,39
2010/01/14(四),12,16,28,32,33
2010/01/15(五),13,29,31,32,38
2010/01/18(一),5,14,33,36,38
2010/01/19(二),10,11,23,25,32
2010/01/20(三),14,19,28,33,39
2010/01/21(四),7,11,18,29,37
2010/01/22(五),1,12,18,25,35
2010/01/25(一),12,19,22,23,31
2010/01/26(二),2,5,6,9,23
2010/01/27(三),7,8,14,25,38
2010/01/28(四),1,3,11,32,36
2010/01/29(五),11,15,17,22,30
2010/02/04(四),2,4,11,16,25
2010/02/05(五),1,5,15,21,25
2010/02/08(一),13,27,31,35,39
2010/02/09(二),4,6,24,26,32
2010/02/10(三),7,13,19,36,38
2010/02/11(四),6,9,23,27,31
2010/02/12(五),11,21,23,26,38
2010/02/15(一),1,2,9,11,28
2010/02/16(二),18,19,27,35,39
2010/02/17(三),4,7,8,28,34
2010/02/18(四),9,11,24,26,39
2010/02/19(五),6,21,22,24,32
2010/02/22(一),2,9,15,22,26
2010/02/23(二),9,20,27,33,36
2010/02/24(三),5,16,17,28,39
2010/02/25(四),4,9,13,27,37
2010/02/26(五),9,18,19,25,32
2010/03/01(一),3,6,10,25,34
2010/03/02(二),7,8,20,25,29
2010/03/03(三),4,7,15,26,33
2010/03/09(二),5,11,12,14,28
2010/03/10(三),2,7,16,30,39
2010/03/11(四),1,3,17,30,38
2010/03/12(五),1,10,19,22,28
2010/03/15(一),4,10,18,22,25
2010/03/16(二),4,6,10,33,37
2010/03/17(三),3,28,33,34,38
2010/03/18(四),3,6,24,25,37
2010/03/19(五),8,14,28,29,35
2010/03/22(一),2,23,25,29,32
2010/03/23(二),9,18,26,32,34
2010/03/24(三),30,31,32,34,35
2010/03/25(四),9,13,26,34,39
2010/03/26(五),9,10,12,22,37
2010/03/29(一),10,12,14,18,34
2010/03/30(二),16,21,25,31,33
2010/03/31(三),1,9,12,19,28
2010/04/01(四),2,17,35,37,38
